"","X.Cuvash.","X.Karachai.","X.Kazakh.","X.Khakass.","X.Kirghiz.","X.SouthAltaic.","X.Tatar.","X.Turkish.","X.Turkmen.","X.Tuvan.","X.Uzbek.","X.Yakut."
"379","1","0","0","1","1","0","0","1","1","0","0","0"
"380","0","0","0","1","0","0","0","0","0","1","0","0"
"381","0","0","1","0","1","0","0","0","0","1","1","0"
"382","0","1","1","1","1","0","1","1","1","1","1","0"
"383","0","1","1","0","1","0","1","0","1","0","0","0"
"384","1","1","1","1","1","0","1","1","0","0","1","0"
"385","0","0","1","1","1","0","0","1","1","0","1","1"
"386","0","0","0","1","0","0","0","0","0","1","0","1"
"387","1","0","0","0","0","0","0","1","0","0","0","0"
"388","1","1","1","1","1","0","1","0","1","1","1","0"
"389","1","1","1","0","1","0","1","1","1","0","1","0"
"390","1","1","1","1","1","0","1","0","1","1","1","1"
"391","1","0","1","0","0","0","0","1","1","1","0","0"
"392","0","1","0","0","1","0","0","1","1","0","1","0"
"393","0","1","1","0","1","0","1","1","1","1","1","0"
"394","0","1","1","1","0","0","0","1","1","0","1","1"
"395","0","0","1","0","1","0","0","0","0","0","0","0"
"396","1","1","0","0","0","0","0","1","1","0","1","0"
"397","1","1","1","1","0","0","1","0","0","1","1","0"
"398","0","0","0","1","0","0","0","0","0","1","0","0"
"399","0","0","1","0","1","0","0","0","0","0","0","0"
"400","0","1","0","0","0","0","0","0","0","0","0","0"
"401","0","1","1","0","1","0","1","1","1","0","1","0"
"402","0","0","0","0","0","0","0","0","0","1","0","1"
"403","0","0","0","0","0","0","0","1","1","0","0","0"
"404","0","0","0","1","0","0","0","0","0","1","0","0"
"405","0","1","0","0","0","0","1","0","1","0","0","0"
"406","0","1","1","0","1","0","1","0","1","0","1","0"
"407","0","1","1","0","1","0","1","1","1","1","1","1"
"408","1","1","1","1","1","0","1","1","1","1","1","0"
"409","0","1","1","1","0","0","1","0","1","1","0","1"
"410","1","1","0","0","0","0","0","1","1","0","1","0"
"411","0","1","1","1","0","0","1","0","0","1","0","0"
"412","0","1","1","1","0","0","0","0","0","1","0","0"
"413","0","1","1","0","1","0","0","0","0","0","0","0"
"414","0","1","1","1","1","0","1","0","1","1","0","1"
"415","0","0","0","1","0","0","0","0","0","1","0","1"
"416","1","1","1","1","1","1","1","1","1","1","1","1"
"417","1","1","1","1","1","1","1","1","1","1","1","0"
"418","1","1","1","0","0","1","1","1","1","0","1","0"
"419","0","0","1","1","0","1","1","1","0","1","1","0"
"420","1","1","1","1","1","1","1","1","1","1","1","0"
"421","1","1","0","0","0","0","0","1","0","0","0","0"
"422","0","1","1","1","1","1","0","1","1","1","1","1"
"423","1","0","1","1","1","1","1","1","1","0","1","0"
"424","0","1","1","0","1","1","1","1","1","0","1","1"
"425","1","1","1","1","1","0","1","1","1","1","1","1"
"426","0","0","0","0","0","0","0","1","0","0","0","0"
"427","0","1","1","0","1","0","1","1","0","0","1","0"
"428","1","1","1","1","1","1","1","1","1","1","1","0"
"429","0","0","0","1","0","0","0","0","0","1","0","1"
"430","1","1","1","1","1","0","1","1","1","0","1","1"
"431","0","0","0","0","1","0","0","1","1","0","1","0"
